	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD	Non COPD
Bulleidia.01	0.00015595757953836600	0.00000000000000000000	0.00000000000000000000	0.00049019607843137300	0.00071581961345740900	0.00016570008285004100	0.00000000000000000000	0.00000000000000000000	0.00101385603244339000	0.00028216704288939000	0.00064850843060959800	0.00000000000000000000	0.00291970802919708000	0.00353122930920327000	0.00000000000000000000	0.00049578582052553300	0.00000000000000000000	0.00012286521685710800	0.00000000000000000000	0.00000000000000000000	0.00136054421768707000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00027754648903691400	0.00046323103647944400	0.00224299065420561000	0.00023078698361412400	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00132714001327140000	0.00052603892688058900	0.01209068010075570000	0.01020408163265310000	0.00093574547723019300	0.00040816326530612200	0.00084997875053123700	0.00966902194124210000	0.00288184438040346000	0.00000000000000000000	0.00000000000000000000
Burkholderia.01	0.01076107298814720000	0.00659046442178972000	0.01066969353007950000	0.00686274509803922000	0.00429491768074445000	0.01590720795360400000	0.00396039603960396000	0.02568807339449540000	0.00270361608651571000	0.00141083521444695000	0.01297016861219200000	0.00382775119617225000	0.00583941605839416000	0.00419333480467888000	0.00222882615156018000	0.00627995372665675000	0.01243339253996450000	0.00675758692714093000	0.00787401574803150000	0.00415224913494810000	0.00789115646258503000	0.00000000000000000000	0.00551217271474506000	0.00115755627009646000	0.02109353316680540000	0.00671685002895194000	0.00224299065420561000	0.00807754442649435000	0.00303573892645233000	0.01623066641206800000	0.00049127978383689500	0.00617741536940944000	0.00798934753661784000	0.02570694087403600000	0.01112877583465820000	0.00398142003981420000	0.00683850604944766000	0.00377833753148615000	0.00655976676384840000	0.00436681222707424000	0.00394557823129252000	0.00509987250318742000	0.00297508367422834000	0.00345821325648415000	0.00403225806451613000	0.00784313725490196000
C.Betaproteobacteria.01	0.00046787273861509700	0.00000000000000000000	0.00045402951191827500	0.00065359477124183000	0.00357909806728704000	0.00049710024855012400	0.00198019801980198000	0.00000000000000000000	0.00980060831361947000	0.00000000000000000000	0.00518806744487678000	0.00287081339712919000	0.00729927007299270000	0.00485544030015449000	0.01560178306092120000	0.00099157164105106600	0.00888099467140320000	0.00282589998771348000	0.00218722659667542000	0.00207612456747405000	0.00190476190476190000	0.00221518987341772000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00196873190503764000	0.00112149532710280000	0.00023078698361412400	0.00013798813302056000	0.00000000000000000000	0.00049127978383689500	0.00000000000000000000	0.01198402130492680000	0.00000000000000000000	0.01748807631160570000	0.00199071001990710000	0.00052603892688058900	0.00151133501259446000	0.00583090379008746000	0.00155957579538366000	0.00095238095238095200	0.00424989375265618000	0.00883227965786538000	0.01498559077809800000	0.00000000000000000000	0.00392156862745098000
C.Betaproteobacteria.02	0.00000000000000000000	0.00010297600659046400	0.00000000000000000000	0.00040849673202614400	0.00000000000000000000	0.00033140016570008300	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00064850843060959800	0.00000000000000000000	0.00000000000000000000	0.00022070183182520400	0.00000000000000000000	0.00082630970087588800	0.00000000000000000000	0.00073719130114264700	0.00043744531933508300	0.00000000000000000000	0.00081632653061224500	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00034742327735958300	0.00037383177570093500	0.00000000000000000000	0.00041396439906168100	0.01126599198014130000	0.00000000000000000000	0.00074128984432913300	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00132714001327140000	0.00000000000000000000	0.00025188916876574300	0.00000000000000000000	0.00020794343938448700	0.00040816326530612200	0.00084997875053123700	0.00046485682409817800	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
C.Gammaproteobacteria.01	0.00015595757953836600	0.00504582432293276000	0.00068104426787741200	0.00024509803921568600	0.00000000000000000000	0.00149130074565037000	0.00000000000000000000	0.00000000000000000000	0.00033795201081446400	0.00141083521444695000	0.00000000000000000000	0.00382775119617225000	0.00291970802919708000	0.00022070183182520400	0.00000000000000000000	0.00000000000000000000	0.00355239786856128000	0.00086005651799975400	0.00043744531933508300	0.00000000000000000000	0.00081632653061224500	0.00094936708860759500	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00034742327735958300	0.00037383177570093500	0.00046157396722824800	0.00000000000000000000	0.00000000000000000000	0.00049127978383689500	0.00074128984432913300	0.08521970705725700000	0.00000000000000000000	0.00000000000000000000	0.00331785003317850000	0.00105207785376118000	0.00000000000000000000	0.00000000000000000000	0.00311915159076731000	0.16095238095238100000	0.00042498937526561800	0.00055782818891781300	0.00057636887608069200	0.00000000000000000000	0.00000000000000000000
C.Gammaproteobacteria.02	0.00655021834061135000	0.00391308825043765000	0.02429057888762770000	0.00473856209150327000	0.00357909806728704000	0.00795360397680199000	0.00198019801980198000	0.00000000000000000000	0.00337952010814464000	0.00677200902934537000	0.00000000000000000000	0.00191387559808612000	0.00145985401459854000	0.00198631648642684000	0.00148588410104012000	0.00148735746157660000	0.00000000000000000000	0.00073719130114264700	0.00349956255468067000	0.00207612456747405000	0.00217687074829932000	0.00474683544303797000	0.00137804317868627000	0.00025723472668810300	0.01054676658340270000	0.00497973364215402000	0.00037383177570093500	0.00715439649203785000	0.00013798813302056000	0.00019094901661256400	0.00000000000000000000	0.00543612552508031000	0.00133155792276964000	0.01028277634961440000	0.00000000000000000000	0.00066357000663570000	0.00210415570752236000	0.00075566750629722900	0.00000000000000000000	0.00187149095446039000	0.00258503401360544000	0.00297492562685933000	0.00009297136481963550	0.00518731988472622000	0.00000000000000000000	0.00000000000000000000
C.Gammaproteobacteria.03	0.00187149095446039000	0.00411904026361858000	0.01566401816118050000	0.00400326797385621000	0.00357909806728704000	0.00480530240265120000	0.00000000000000000000	0.00366972477064220000	0.00101385603244339000	0.00338600451467269000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00242772015007725000	0.00074294205052005900	0.00148735746157660000	0.00000000000000000000	0.00086005651799975400	0.00043744531933508300	0.00138408304498270000	0.00190476190476190000	0.00221518987341772000	0.00000000000000000000	0.00012861736334405100	0.00666111573688593000	0.00312680949623625000	0.00037383177570093500	0.00600046157396723000	0.00000000000000000000	0.00000000000000000000	0.00049127978383689500	0.00296515937731653000	0.00266311584553928000	0.01028277634961440000	0.00317965023847377000	0.00000000000000000000	0.00210415570752236000	0.00201511335012594000	0.00000000000000000000	0.00197546267415263000	0.00204081632653061000	0.00148746281342966000	0.00009297136481963550	0.00115273775216138000	0.00000000000000000000	0.00392156862745098000
C.Gammaproteobacteria.04	0.00140361821584529000	0.00288332818453300000	0.00771850170261067000	0.00179738562091503000	0.00071581961345740900	0.00331400165700083000	0.00000000000000000000	0.00366972477064220000	0.00811084825954714000	0.00423250564334086000	0.00259403372243839000	0.00000000000000000000	0.00000000000000000000	0.00154491282277643000	0.00148588410104012000	0.00115683358122624000	0.00355239786856128000	0.00122865216857108000	0.00043744531933508300	0.00415224913494810000	0.00108843537414966000	0.00348101265822785000	0.00229673863114378000	0.00012861736334405100	0.00444074382459062000	0.00208453966415750000	0.00000000000000000000	0.00138472190168474000	0.00000000000000000000	0.00000000000000000000	0.00024563989191844800	0.00172967630343464000	0.00665778961384820000	0.00257069408740360000	0.00158982511923688000	0.00066357000663570000	0.00000000000000000000	0.00025188916876574300	0.00000000000000000000	0.00218340611353712000	0.00190476190476190000	0.00297492562685933000	0.00009297136481963550	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000
C.Gammaproteobacteria.05	0.00124766063630692000	0.00030892801977139300	0.00385925085130533000	0.00138888888888889000	0.00000000000000000000	0.00066280033140016600	0.00198019801980198000	0.00000000000000000000	0.00202771206488679000	0.00733634311512415000	0.00194552529182879000	0.00287081339712919000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00049578582052553300	0.00000000000000000000	0.00221157390342794000	0.00043744531933508300	0.00000000000000000000	0.00027210884353741500	0.00031645569620253200	0.00321543408360129000	0.00000000000000000000	0.00055509297807382700	0.00428488708743486000	0.00000000000000000000	0.00415416570505424000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00098838645910551000	0.00133155792276964000	0.00000000000000000000	0.00158982511923688000	0.00066357000663570000	0.00210415570752236000	0.00050377833753148600	0.00000000000000000000	0.00093574547723019300	0.00054421768707483000	0.00042498937526561800	0.00000000000000000000	0.00057636887608069200	0.00000000000000000000	0.00000000000000000000
C.Gammaproteobacteria.06	0.00062383031815346200	0.00061785603954278700	0.00090805902383654900	0.00049019607843137300	0.00000000000000000000	0.00066280033140016600	0.00000000000000000000	0.00000000000000000000	0.00202771206488679000	0.00141083521444695000	0.00129701686121920000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00033052388035035500	0.00000000000000000000	0.00049146086742843100	0.00043744531933508300	0.00207612456747405000	0.00054421768707483000	0.00031645569620253200	0.00091869545245751000	0.00000000000000000000	0.00055509297807382700	0.00034742327735958300	0.00000000000000000000	0.00069236095084237200	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00000000000000000000	0.00532623169107856000	0.00257069408740360000	0.00000000000000000000	0.00066357000663570000	0.00052603892688058900	0.00025188916876574300	0.00000000000000000000	0.00155957579538366000	0.00843537414965986000	0.00148746281342966000	0.00000000000000000000	0.00057636887608069200	0.00000000000000000000	0.00000000000000000000
